category,qid,ja_pageid,en_wiki,lat,lon,ja,en,zh,ko,fr,de,es,pt,it,nl,pl,ru,uk,hu,sv,tr,el,id,vi,th,bn,hi,ar,fa,ur,he
range,Q35647,1624105,Pennines,54.702777777778,-2.4866666666667,ペナイン山脈,Pennines,奔宁山脉,페나인산맥,Pennines,Pennines,Peninos,Peninos,Monti Pennini,Penninisch Gebergte,Góry Pennińskie,Пеннинские горы,Пеннінські гори,Pennine-hegység,Penninerna,Pennine Dağları,Πέννινα Όρη,Pennines,Pennines,เพนไนนส์,,,بينينز,پنین,,הרי הפניין
range,Q186547,806662,Scandinavian Mountains,65,14,スカンディナヴィア山脈,Scandinavian Mountains,斯堪的纳维亚山脉,스칸디나비아산맥,Alpes scandinaves,Skandinavisches Gebirge,Alpes escandinavos,Alpes Escandinavos,Monti Scandinavi,Scandinavisch Hoogland,Góry Skandynawskie,Скандинавские горы,Скандинавські гори,Skandináv-hegység,Skanderna,İskandinav Dağları,Σκανδιναβικά Όρη,,Dãy núi Scandinavia,เทือกเขาสแกนดิเนเวีย,,स्कैंडिनेवियाई पहाड़,سلسلة الجبال الإسكندنافية,رشته‌کوه اسکاندیناوی,سلسلہ کوہ اسکینڈے نیویا,הרי סקנדינביה
range,Q35600,25671,Ural Mountains,60,59,ウラル山脈,Ural Mountains,乌拉尔山脉,우랄산맥,Oural,Ural,Montes Urales,Montes Urais,Urali,Oeral,Ural,Уральские горы,Уральські гори,Urál,Uralbergen,Ural Dağları,Ουράλια Όρη,Pegunungan Ural,Dãy núi Ural,เทือกเขายูรัล,ইউরাল পর্বতমালা,यूराल पर्वत,جبال الأورال,کوه‌های اورال,کوہ اورال,הרי אורל
range,Q5474,275837,Tian Shan,42.0375,80.125277777778,天山山脈,Tianshan Mountains,天山山脈,톈산산맥,Tian Shan,Tienshan,Tian Shan,Tian Shan,Tien Shan,Tiensjan,Tienszan,Тянь-Шань,Тянь-Шань,Tien-san,Tian Shan,Tanrı Dağları,Τιεν Σαν,Tian Shan,Thiên Sơn,เทียนชาน,থিয়েন শান পর্বতমালা,तियाँ शान,جبال تيان شان,تیان شان,تیان شان,טיין שאן
range,Q183295,197449,Drakensberg,-29.366666666667,29.533333333333,ドラケンスバーグ山脈,Drakensberg,德拉肯斯堡山脉,드라켄즈버그산맥,Drakensberg,Drakensberge,Drakensberg,Drakensberg,Monti dei Draghi,Drakensbergen,Góry Smocze,Драконовы горы,Драконові гори,Drakensberg,Drakensberg,Drakensberg,Ντράκενσμπεργκ,Drakensberg,Drakensberg,ดราเคนส์เบิร์ก,,द्रेकंस्बर्ग उद्यान,دراكنزبرغ,دراکنزبرگ,ڈراکنزبرگ,דראקנסברג
range,Q192583,629100,Great Dividing Range,-25,147,グレートディヴァイディング山脈,Great Dividing Range,大分水岭,그레이트디바이딩산맥,Cordillère australienne,Great Dividing Range,Gran Cordillera Divisoria,Cordilheira australiana,Grande Catena Divisoria,Groot Australisch Scheidingsgebergte,Wielkie Góry Wododziałowe,Большой Водораздельный хребет,Великий вододільний хребет,Nagy-Vízválasztó-hegység,Great Dividing Range,Büyük Su Bölümü Sıradağları,Οροσειρά Γκρέιτ Ντιβάιντινγκ,Pegunungan Pemisah Besar,Great Dividing Range,เทือกเขาเกรตดิไวดิง,,महान विभाजक पर्वतमाला,غريت ديفايدينغ,ایسترن هایلندز,گریٹ ڈیوائڈنگ رینج,ההרים המחלקים הגדולים
range,Q93332,320814,Appalachian Mountains,35.764722222222,-82.265277777778,アパラチア山脈,Appalachian Mountains,阿巴拉契亚山脉,애팔래치아산맥,Appalaches,Appalachen,Apalaches,Apalaches,Appalachi,Appalachen,Appalachy,Аппалачи,Аппалачі,Appalache-hegység,Appalacherna,Apalaş Dağları,Απαλάχια Όρη,Pegunungan Appalachia,dãy núi Appalachia,เทือกเขาแอปพาเลเชียน,অ্যাপালেচিয়ান পর্বতমালা,एपलाशियन पर्वतमाला,جبال الأبالاش,رشته‌کوه آپالیشین,اپالاچئین پہاڑ,הרי האפלצ'ים
range,Q5955,350325,Altai Mountains,49,89,アルタイ山脈,Altai Mountains,阿尔泰山脉,알타이산맥,Altaï,Altai,macizo de Altái,Altai,Monti Altaj,Altaj,Ałtaj,Алтайские горы,Алтайські гори,Altaj,Altaj,Altay Dağları,Αλτάι,Pegunungan Altai,Dãy núi Altay,เทือกเขาอัลไต,আলতাই পর্বতমালা,अल्ताई पर्वत शृंखला,جبال ألتاي,کوه‌های آلتای,التائی پہاڑ,הרי אלטאי
range,Q187871,193202,Kunlun Mountains,36,84,崑崙山脈,Kunlun Mountains,昆仑山脉,쿤룬산맥,Cordillère du Kunlun,Kunlun,Kunlun,Kunlun,Kunlun,Kunlun,Kunlun,Куньлунь,Куньлунь,Kunlun,Kunlun,Kunlun Dağları,Κουνλούν,Pegunungan Kunlun,Dãy núi Côn Lôn,เทือกเขาคุนหลุน,কুয়েনলুন পর্বতমালা,कुनलुन पर्वत,جبال كونلون,کونلون,سلسلہ کوہ کونلون,הרי קונלון
range,Q863798,661768,Qinling,33.96333334,107.61805557,秦嶺山脈,Qinling,秦岭,친링산맥,Monts Qinling,Qin Ling,Cordillera Qin,Qinling,monti Qin,Qinling Shan,Qin Ling,Циньлин,Ціньлін,Csinling-hegység,Qinling,Qin Dağları,,Qinling,Tần Lĩnh,,,,جبال تشينلينغ,چین‌لینگ,,צ'ין-לינג
range,Q5472,9188,Hindu Kush,35,71,ヒンドゥークシュ山脈,Hindu Kush,興都庫什山脈,힌두쿠시산맥,Hindou Kouch,Hindukusch,Hindú Kush,Hindu Kush,Hindu Kush,Hindoekoesj,Hindukusz,Гиндукуш,Гіндукуш,Hindukus,Hindukush,Hindukuş Dağları,Χίντου Κους,Hindu Kush,Hindu Kush,เทือกเขาฮินดูกูช,হিন্দুকুশ পর্বতমালা,हिन्दु कुश,هندوكوش,هندوکش,سلسلہ کوہ ہندوکش,הינדו-כוש
range,Q26777,200052,Sierra Nevada,37.73,-119.57,シエラネバダ山脈 (アメリカ合衆国),Sierra Nevada,內華達山脈,시에라네바다산맥,sierra Nevada,Sierra Nevada,Sierra Nevada,Serra Nevada,Sierra Nevada,Sierra Nevada,Sierra Nevada,Сьерра-Невада,Сьєрра-Невада,Sierra Nevada,Sierra Nevada,Sierra Nevada,Σιέρρα Νεβάδα,Pegunungan Sierra Nevada,Sierra Nevada,เซียร์ราเนวาดา,সিয়েরা নেভাদা,सिएरा नेवाडा,سييرا نيفادا,سیرا نوادا,,סיירה נבדה
range,Q156684,350332,Alaska Range,63.0694,-151.007,アラスカ山脈,Alaska Range,阿拉斯加山脈,알래스카산맥,chaîne d'Alaska,Alaskakette,Cordillera de Alaska,Cordilheira do Alasca,Catena dell'Alaska,Alaskagebergte,Alaska,Аляскинский хребет,Аляскинський хребет,Alaszkai-hegység,Alaska Range,,Οροσειρά της Αλάσκας,,dãy núi Alaska,เทือกเขาอะแลสกา,,अलास्का पर्वतमाला,,رشته کوه آلاسکا,,רכס אלסקה
range,Q765874,204153,Maya Mountains,16.501480296560597,-89.04626238007883,マヤ山脈,Maya Mountains,馬雅山脈,,Monts Maya,Maya Mountains,Montes Maya,Montes Maias,Monti Maya,Mayagebergte,Maya,Майя,Мая,,Maya Mountains,,,,Núi Maya,,,,جبال المايا,رشته‌کوه مایا,,הרי מאיה
range,Q929910,5046922,Brooks Range,68.2,-152.25,ブルックス山脈,Brooks Range,布鲁克斯山脉,,chaîne Brooks,Brookskette,Cordillera de Brooks,Cordilheira Brooks,Monti Brooks,Brooksgebergte,Góry Brooksa,Хребет Брукса,Хребет Брукса,,,Brooks Sıradağları,,Pegunungan Brooks,,,,,سلسلة بروكس,رشته‌کوه بروکس,,רכס ברוקס
range,Q1719533,2905905,Sierras de Córdoba,-30.84416667,-64.47611111,コルドバ山脈,Sierras de Córdoba,科爾多瓦山脈,,Sierras de Córdoba,Sierras de Córdoba,Sierras de Córdoba,,Sierras de Córdoba,Sierras de Córdoba,,Сьеррас-де-Кордова,,,,Sierras de Córdoba,,,,,,,,,,
range,Q1288,666691,Carpathian Mountains,47,25.5,カルパティア山脈,Carpathians,喀爾巴阡山脈,카르파티아산맥,Carpates,Karpaten,montes Cárpatos,Cárpatos,Carpazi,Karpaten,Karpaty,Карпаты,Карпати,Kárpátok,Karpaterna,Karpatlar,Καρπάθια Όρη,Pegunungan Karpatia,Dãy núi Karpat,เทือกเขาคาร์เพเทียน,কার্পেথীয় পর্বতমালা,कारपैथी पर्वत,الكربات,کوه‌های کارپات,کارپیتھین سلسلہ کوہ,הרי הקרפטים
range,Q217202,208835,Southern Carpathians,45.6,24.73,トランシルヴァニアアルプス山脈,Southern Carpathians,南喀尔巴阡山脉,트란실바니아알프스산맥,Alpes de Transylvanie,Transsilvanische Alpen,Cárpatos meridionales,,Alpi Transilvaniche,Transsylvanische Alpen,Karpaty Południowe,Южные Карпаты,Південні Карпати,Déli-Kárpátok,Transsylvanska alperna,Transilvanya Alpleri,Νότια Καρπάθια,Carpathians Selatan,,,,,,آلپ ترانسیلوانیا,,הקרפטים הדרומיים
range,Q1124584,2927265,Sierra Madre Occidental,26.745722222222,-108.05786111111,西シエラ・マドレ山脈,Sierra Madre Occidental,西馬德雷山脈,서시에라마드레 산맥,Sierra Madre occidentale,Sierra Madre Occidental,Sierra Madre Occidental,Sierra Madre Ocidental,Sierra Madre Occidentale,Westelijke Sierra Madre,Sierra Madre Zachodnia,Сьерра-Мадре Западная,Західна Сьєрра-Мадре,Nyugati-Sierra Madre,Sierra Madre Occidental,Sierra Madre Occidental,,Sierra Madre Barat,,,,,سييرا مادري الغربية,سیرا مادره باختری,,סיירה מדרה אוקסידנטל
range,Q203239,1360633,Sayan Mountains,53.251944444444,94.974444444444,サヤン山脈,Sayan Mountains,薩彥嶺,사얀산맥,monts Saïan,Sajangebirge,montes Sayanes,Montes Sayan,Monti Sajany,Sajan,Sajany,Саяны,Саяни,Szajánok,Sajanbergen,Sayan Dağları,Οροσειρά Σαγιάν,Pegunungan Sayan,Dãy núi Sayan,เทือกเขาซายัน,,सायन पर्वत शृंखला,جبال سايان,کوه‌های سایان,سیان پہاڑ,הרי סייאן
range,Q214284,350868,Stanovoy Range,55.5,127.5,スタノヴォイ山脈,Stanovoy Range,外兴安岭,스타노보이산맥,Monts Stanovoï,Stanowoigebirge,Montes Stanovoi,,Monti Stanovoj,Stanovojgebergte,Pasmo Stanowe,Становой хребет,Становий хребет,Sztanovoj-hegylánc,Stanovojbergen,Stanovoy Sıradağları,,,Dãy núi Stanovoy,,,,,رشته‌کوه استانووی,,רכס סטנובוי
range,Q170427,1850121,Balkan Mountains,42.78421,24.97626,バルカン山脈,Balkan Mountains,巴尔干山脉,발칸산맥,Grand Balkan,Balkangebirge,Montes Balcanes,Cordilheira dos Bálcãs,Monti Balcani,Balkangebergte,Stara Płanina,Стара-Планина,Балканські гори,Balkán-hegység,Balkanbergen,Koca Balkan Dağları,Αίμος,Pegunungan Balkan,Dãy núi Balkan,เทือกเขาบอลข่าน,,बाल्कन पर्वत शृंखला,جبال البلقان,رشته‌کوه بالکان,سلسلہ کوہ بلقان,הרי הבלקן
range,Q215917,1234842,Verkhoyansk Range,67,129,ベルホヤンスク山脈,Verkhoyansk Range,上揚斯克山脈,베르호얀스크산맥,Monts de Verkhoïansk,Werchojansker Gebirge,Cordillera Verjoyansk,Cordilheira Verkhoyansk,Monti di Verchojansk,Verchojanskgebergte,Góry Wierchojańskie,Верхоянский хребет,Верхоянський хребет,Verhojanszki-hegylánc,Verchojanskbergen,Verkhoyansk Dağları,,Pegunungan Verkhoyansk,Dãy núi Verkhoyansk,,ভেরখোয়ান্‌স্ক্‌,,جبال فرخويانسك,کوهستان ورخویانسک,,רכס ורחויאנסק
peninsula,Q31945,8619,Arabian Peninsula,23,46,アラビア半島,Arabian Peninsula,阿拉伯半岛,아라비아반도,Arabie,Arabische Halbinsel,Arabia,Arábia,penisola araba,Arabisch schiereiland,Półwysep Arabski,Аравийский полуостров,Аравійський півострів,Arab-félsziget,Arabiska halvön,Arap Yarımadası,Αραβία,Semenanjung Arab,Bán đảo Ả Rập,คาบสมุทรอาหรับ,আরব উপদ্বীপ,अरबी प्रायद्वीप,شبه الجزيرة العربية,شبه‌جزیره عربستان,جزیرہ نما عرب,חצי האי ערב
peninsula,Q60140,10156,Indian subcontinent,22.20775,76.97021,インド亜大陸,Indian subcontinent,印度次大陸,인도 아대륙,sous-continent indien,indischer Subkontinent,subcontinente indio,Subcontinente indiano,subcontinente indiano,Indiaas subcontinent,subkontynent indyjski,Индийский субконтинент,Індійський субконтинент,Indiai szubkontinens,Indiska subkontinenten,Hint altkıtası,Ινδική υποήπειρος,anak benua India,Tiểu lục địa Ấn Độ,อนุทวีปอินเดีย,ভারতীয় উপমহাদেশ,भारतीय उपमहाद्वीप,شبه القارة الهندية,شبه‌قاره هند,برصغیر پاک و ہند,תת-היבשת ההודית
peninsula,Q84170,144601,Labrador Peninsula,55,-69,ラブラドル半島,Labrador Peninsula,拉布拉多半岛,래브라도반도,péninsule du Québec-Labrador,Labrador-Halbinsel,Península del Labrador,Península do Labrador,Labrador,Labrador,Labrador,Лабрадор,Лабрадор,Labrador,Labradorhalvön,Labrador Yarımadası,Χερσόνησος Λαμπραντόρ,Jazirah Labrador,Bán đảo Labrador,คาบสมุทรแลบราดอร์,,,شبه جزيرة لبرادور,شبه‌جزیره لابرادور,,חצי האי לברדור
peninsula,Q73169,26725,Scandinavian Peninsula,63,14,スカンディナヴィア半島,Scandinavian Peninsula,斯堪的纳维亚半岛,스칸디나비아반도,péninsule Scandinave,Skandinavische Halbinsel,Península escandinava,Península Escandinava,Penisola scandinava,Scandinavisch Schiereiland,Półwysep Skandynawski,Скандинавский полуостров,Скандинавський півострів,Skandináv-félsziget,Skandinaviska halvön,İskandinav Yarımadası,Σκανδιναβική Χερσόνησος,Semenanjung Skandinavia,bán đảo Scandinavia,คาบสมุทรสแกนดิเนเวีย,,स्केंडिनेवियाई प्रायद्वीप,شبه الجزيرة الإسكندنافية,شبه جزیره اسکاندیناوی,,חצי האי סקנדינביה
peninsula,Q12837,18127,Iberian Peninsula,40.24,-4.2391666666667,イベリア半島,Iberian Peninsula,伊比利亚半岛,이베리아반도,péninsule Ibérique,Iberische Halbinsel,península ibérica,Península Ibérica,penisola iberica,Iberisch Schiereiland,Półwysep Iberyjski,Пиренейский полуостров,Піренейський пів острів,Ibériai-félsziget,Iberiska halvön,İber Yarımadası,Ιβηρική Χερσόνησος,Iberia,Bán đảo Iberia,คาบสมุทรไอบีเรีย,ইবেরীয় উপদ্বীপ,इबेरिया प्रायद्वीप,شبه الجزيرة الإيبيرية,شبه‌جزیرهٔ ایبریا,جزیرہ نما آئبیریا,חצי האי האיברי
peninsula,Q43467,95088,Mainland Southeast Asia,16,102,インドシナ半島,Mainland Southeast Asia,中南半岛,인도차이나반도,Indochine,Indochina,Indochina,Indochina,Indocina,Indochina,Indochiny,Индокитай,Індокитай,Indokína,Indokina,Hindiçin,Ινδοκίνα,Indochina,bán đảo Đông Dương,อินโดจีน,ইন্দোচীন,हिन्दचीन,الهند الصينية,هندوچین,ہندچین,הודו-סין
peninsula,Q51614,12871,Anatolia,39,35,アナトリア半島,Anatolia,安納托利亞,아나톨리아,Anatolie,Anatolien,Anatolia,Anatólia,Anatolia,Anatolië,Anatolia,Анатолия,Анатолія,Anatólia,Anatolien,Anadolu,Μικρά Ασία,Anatolia,Anatolia,อานาโตเลีย,আনাতোলিয়া,आनातोलिया,الأناضول,آناتولی,اناطولیہ,אסיה הקטנה
peninsula,Q23522,12868,Balkans,42,22,バルカン半島,Balkans,巴尔干半岛,발칸반도,Balkans,Balkanhalbinsel,península balcánica,Bálcãs,penisola balcanica,Balkan,Półwysep Bałkański,Балканский полуостров,Балканський півострів,Balkán-félsziget,Balkanhalvön,Balkanlar,Βαλκάνια,Balkan,Balkan,บอลข่าน,বলকান অঞ্চল,बाल्कन,البلقان,بالکان,بلقان,חבל הבלקן
peninsula,Q993,29552,Kamchatka Peninsula,57,160,カムチャツカ半島,Kamchatka Peninsula,堪察加半島,캄차카 반도,Kamtchatka,Kamtschatka,península de Kamchatka,Península de Kamchatka,Camciatca,Kamtsjatka,Kamczatka,Камчатка,Камчатський півострів,Kamcsatka,Kamtjatka,Kamçatka Yarımadası,Χερσόνησος Καμτσάτκα,Semenanjung Kamchatka,Bán đảo Kamchatka,คาบสมุทรคัมชัตคา,কামচাতকা উপদ্বীপ,कमचातका प्रायद्वीप,شبه جزيرة كمشتكا,شبه‌جزیره کامچاتکا,جزیرہ نما کامچاٹکا,קמצ'טקה
peninsula,Q18758,658774,Malay Peninsula,7,100,マレー半島,Malay Peninsula,马来半岛,말레이반도,péninsule Malaise,Malaiische Halbinsel,península de Malaca,Península da Malásia,penisola malese,Malakka,Półwysep Malajski,Малакка,Малакка,Maláj-félsziget,Malackahalvön,Malay Yarımadası,Μαλαϊκή χερσόνησος,Semenanjung Malaya,Bán đảo Mã Lai,คาบสมุทรมลายู,মালয় উপদ্বীপ,मलय प्रायद्वीप,شبه جزيرة ملايو,شبه‌جزیره مالایا,مالے جزیرہ نما,חצי האי המלאי
peninsula,Q483134,16498,Korean Peninsula,37.5,127,朝鮮半島,Korean Peninsula,朝鮮半島,한반도,péninsule de Corée,Koreanische Halbinsel,península de Corea,Península da Coreia,Penisola coreana,Koreaans Schiereiland,Półwysep Koreański,Корейский полуостров,Корейський півострів,Koreai-félsziget,Koreahalvön,Kore Yarımadası,Κορεατική Χερσόνησος,Semenanjung Korea,bán đảo Triều Tiên,คาบสมุทรเกาหลี,কোরীয় উপদ্বীপ,कोरियाई प्रायद्वीप,شبه جزيرة كوريا,شبه جزیره کره,کوریائی جزیرہ نما,חצי האי הקוריאני
peninsula,Q233770,190714,Cape York Peninsula,-15,143,ヨーク岬半島,Cape York Peninsula,约克角半岛,케이프요크반도,péninsule du cap York,Cape York Peninsula,Península del Cabo York,Península do Cabo York,Penisola di Capo York,Kaap York-schiereiland,Jork,Кейп-Йорк,Кейп-Йорк,York-félsziget,Kap Yorkhalvön,Cape York Yarımadası,Χερσόνησος του Κέιπ Γιορκ,Semenanjung Tanjung York,Bán đảo Cape York,คาบสมุทรเคปยอร์ก,কেপ ইয়র্ক উপদ্বীপ,यॉर्क अंतरीप प्रायद्वीप,شبه جزيرة كيب يورك,شبه‌جزیره کیپ یورک,,חצי האי כף יורק
peninsula,Q145694,63128,Italian Peninsula,42,14,イタリア半島,Italian Peninsula,意大利半島,이탈리아반도,péninsule italienne,Apenninhalbinsel,península itálica,Península apenina,penisola italiana,Apennijns Schiereiland,Półwysep Apeniński,Апеннинский полуостров,Апеннінський півострів,Appennini-félsziget,Apenninska halvön,İtalya Yarımadası,Ιταλική χερσόνησος,Semenanjung Italia,bán đảo Ý,คาบสมุทรอิตาลี,,इतालवी प्रायद्वीप,شبه الجزيرة الإيطالية,شبه‌جزیره ایتالیا,جزیرہ نما اٹلی,חצי האי האפניני
peninsula,Q178543,1869171,Baja California peninsula,28,-113.5,バハ・カリフォルニア半島,Baja California peninsula,下加利福尼亞半島,바하칼리포르니아반도,péninsule de Basse-Californie,Niederkalifornien,península de California,Península da Baixa Califórnia,Penisola di Bassa California,Neder-Californië,Półwysep Kalifornijski,Калифорния,Нижня Каліфорнія,Kaliforniai-félsziget,Baja California,Baja California Yarımadası,Χερσόνησος Μπάχα Καλιφόρνια,Semenanjung Baja California,bán đảo Baja California,คาบสมุทรบาฆากาลิฟอร์เนีย,বাজা ক্যালিফোর্নিয়া,बाजा कैलिफ़ोर्निया प्रायद्वीप,شبه جزيرة باخا كاليفورنيا,شبه‌جزیره باخا کالیفرنیا,باجا کیلیفورنیا,חצי האי באחה קליפורניה
peninsula,Q2661894,210682,Florida Peninsula,28.00000001,-81.50000001,フロリダ半島,Florida Peninsula,佛罗里达半岛,플로리다반도,péninsule de Floride,,Península de Florida,Península da Flórida,Penisola della Florida,Florida Peninsula,Floryda,Флорида,Флорида,,,,Χερσόνησος Φλόριντα,,,,,,,,,
peninsula,Q893152,844651,Boothia Peninsula,70.4333,-94.4,ブーシア半島,Boothia Peninsula,布西亚半岛,부시아반도,péninsule Boothia,Boothia,Península Boothia,Península de Boothia,Boothia,Boothia,Boothia (półwysep),Бутия,Бутія (півострів),,Boothiahalvön,Boothia Yarımadası,,,,,,,شبه جزيرة بوتيا,,,בות'יה (חצי אי)
peninsula,Q40556,96097,Horn of Africa,9.5,48,アフリカの角,Horn of Africa,非洲之角,아프리카의 뿔,Corne de l'Afrique,Horn von Afrika,Cuerno de África,Corno de África,Corno d'Africa,Hoorn van Afrika,Półwysep Somalijski,Сомали,Африканський Ріг,Északkelet-Afrika,Afrikas horn,Afrika Boynuzu,Κέρας της Αφρικής,Tanduk Afrika,Sừng châu Phi,จะงอยแอฟริกา,আফ্রিকার শৃঙ্গ,अफ़्रीका का सींग,القرن الإفريقي,شاخ آفریقا,قرن افریقہ,קרן אפריקה
peninsula,Q1827082,820385,San Francisco Peninsula,37.583333333333,-122.40111111111,サンフランシスコ半島,San Francisco Peninsula,旧金山半岛,샌프란시스코반도,péninsule de San Francisco,San Francisco Bay Area/Peninsula,Península de San Francisco,Península de São Francisco,Penisola di San Francisco,Schiereiland van San Francisco,,Сан-Франциско,Сан-Франциско,,,San Francisco Yarımadası,,Semenanjung San Francisco,bán đảo San Francisco,,,,شبه جزيرة سان فرانسيسكو,شبه جزیره سانفرانسیسکو,,חצי האי סן פרנסיסקו
peninsula,Q7835,57272,Crimea,45,34,クリミア半島,Crimea,克里米亞,크림반도,Crimée,Krim,península de Crimea,península da Crimeia,Crimea,Krim,Półwysep Krymski,Крымский полуостров,Кримський півострів,Krím,Krim,Kırım,Κριμαία,Krimea,bán đảo Krym,คาบสมุทรไครเมีย,ক্রিমিয়া,क्रीमिया,القرم,کریمه,جزیرہ نما کریمیا,חצי האי קרים
peninsula,Q849879,845495,Cape Bon,37.068889,11.043056,ボン岬半島,Cap Bon,卡本半岛,,cap Bon,Kap Bon,Cabo Bon,Cabo Bon,Capo Bon,Kaap Bon,Al-Watan al-Kibli,Бон,Бон,Cap Bon,Kap Bon,Resü't Tayyib Burnu,,Cape Bon,,,,काप बों,الرأس الطيب,,,כף בון
