"クウェート","_国","クウェート","Kuwait","State of _","Kuwait",3,"",4441,"","",""
"クック諸島","","アバルア","Cook Islands","","Avarua",6,"Cook Is.",230872,"ニュージーランド","",""
"グリーンランド","","ヌーク","Greenland","","Nuuk",4,"",1698863,"デンマーク","",""
"クリスマス島","","フライング・フィッシュ・コーブ","Christmas Island","","Flying Fish Cove",6,"",231080,"オーストラリア","",""
"クリッパートン島","","","Clipperton Island","","",4,"",161127,"フランス","",""
"クリミア共和国","","シンフェロポリ","Crimea","","Simferopol",1,"",2471101,"","ウクライナ",""
"クルディスタン","","アルビール","Kurdistan","","Erbil",3,"",164670,"","トルコ",""
"グレナダ","","セントジョージズ","Grenada","","Saint George's",4,"",59733,"","",""
"クロアチア","_共和国","ザグレブ","Croatia","Republic of _","Zagreb",1,"",6342,"","",""
"ケイマン諸島","","ジョージタウン","Cayman Islands","","George Town",4,"Cayman Is.",207946,"イギリス","",""
"ケニア","_共和国","ナイロビ","Kenya","Republic of _","Nairobi",2,"",6968,"","",""
"コートジボアール","_共和国","ヤムスクロ","Côte d'Ivoire","Republic of _","Yamoussoukro",2,"",27957,"","",""
"ココス諸島","","ウェスト島","Cocos (Keeling) Islands","","West Island",6,"Cocos Islands",207741,"オーストラリア","",""
"コスタリカ","_共和国","サンホセ","Costa Rica","Republic of _","San Jose",4,"",1201,"","",""
"コソボ","","プリシュティナ","Kosovo","","Pristina",1,"",65968,"","セルビア",""
"コモロ","_連合","モロニ","Comoros","Union of _","Moroni",2,"",8603,"","",""
"コロンビア","_共和国","ボゴタ","Colombia","Republic of _","Bogota",5,"",6370,"","",""
"コンゴ","_共和国","ブラザヴィル","Congo","Republic of _","Brazzaville",2,"",13221,"","",""
"コンゴ民主共和国","","キンシャサ","Democratic Republic of the Congo","","Kinshasa",2,"Dem. Rep. Congo",8593,"","",""
"サウジアラビア","_王国","リヤド","Saudi Arabia","Kingdom of _","Riyadh",3,"",4418,"","",""
"サモア","_独立国","アピア","Samoa","Independent State of _","Apia",6,"",53994,"","",""
"サン・バルテルミー島","","グスタビア","Saint Barthélemy","","Gustavia",4,"St-Barthélemy",343863,"フランス","",""
"サン・マルタン","","マリゴ","Saint Martin","","Marigot",4,"St-Martin",1055537,"フランス","",""
"サントメ・プリンシペ","_民主共和国","サントメ","Sao Tome and Principe","Democratic Republic of _","Sao Tome",2,"São Tomé and Principe",27973,"","",""
"ザンビア","_共和国","ルサカ","Zambia","Republic of _","Lusaka",2,"",27974,"","",""
"サンピエール島・ミクロン島","","サンピエール","St. Pierre and Miquelon","","Saint-Pierre",4,"",220452,"フランス","",""
"サンマリノ","_共和国","サンマリノ","San Marino","Republic of _","the City of San Marino",1,"",14293,"","",""
"シエラレオネ","_共和国","フリータウン","Sierra Leone","Republic of _","Freetown",2,"",1277266,"","",""
"ジブチ","_共和国","ジブチ","Djibouti","Republic of _","Djibouti",2,"",8600,"","",""
"ジブラルタル","","ジブラルタル","Gibraltar","","Gibraltar",1,"",88908,"イギリス","",""
"ジャージー","","セント・ヘリア","Jersey","","Saint Helier",1,"",131581,"イギリス","",""
"ジャマイカ","","キングストン","Jamaica","","Kingston",4,"",6362,"","",""
"ジョージア","","トビリシ","Georgia","","Tbilisi",3,"",22113,"","",""
"シリア","_・アラブ共和国","ダマスカス","Syria","_n Arab Republic","Damascus",3,"",9116,"","",""
"シンガポール","_共和国","シンガポール","Singapore","Republic of _","Singapore",3,"",2121918,"","",""
"シント・マールテン","","フィリップスブルフ","Sint Maarten","","Philipsburg",4,"",1055542,"オランダ","",""
"ジンバブエ","_共和国","ハラレ","Zimbabwe","Republic of _","Harare",2,"",14043,"","",""
"スイス","_連邦","ベルン","Switzerland","_(Swiss Confederation)","Berne",1,"",3259,"","",""
"スヴァールバル諸島およびヤンマイエン島","","ロングイェールビーン","Svalbard and Jan Mayen","","Longyearbyen",1,"Jan Mayen I.",2118402,"ノルウェー","",""
"スウェーデン","_王国","ストックホルム","Sweden","Kingdom of _","Stockholm",1,"",1698859,"","",""
"スーダン","_共和国","ハルツーム","Sudan","The Republic of the _","Khartoum",2,"",6974,"","",""
"スペイン","_王国","マドリード","Spain","Kingdom of _","Madrid",1,"",1698826,"","",""
"スリナム","_共和国","パラマリボ","Suriname","Republic of _","Paramaribo",5,"",28164,"","",""
"スリランカ","_民主社会主義共和国","スリ・ジャヤワルダナプラ・コッテ","Sri Lanka","Democratic Socialist Republic of _","Sri Jayawardenepura Kotte",3,"",4508,"","",""
"スロバキア","_共和国","ブラチスラヴァ","Slovakia","_(Slovak Republic)","Bratislava",1,"",6384,"","",""
"スロベニア","_共和国","リュブリャナ","Slovenia","Republic of _","Ljubljana",1,"",6351,"","",""
"セーシェル","_共和国","ヴィクトリア","Seychelles","Republic of _","Victoria",2,"",28200,"","",""
"セネガル","_共和国","ダカール","Senegal","Republic of _","Dakar",2,"",28252,"","",""
"セルビア","_共和国","ベオグラード","Serbia","Republic of _","Belgrade",1,"",51217,"","",""
"セントクリストファー・ネイビス","","バセテール","Saint Christopher and Nevis","","Basseterre",4,"St. Kitts and Nevis",9516,"","",""
"セントビンセント・グレナディーン","","キングスタウン","Saint Vincent and the Grenadines","","Kingstown",4,"St. Vin. and Gren.",38881,"","",""
"セントヘレナ・アセンションおよびトリスタンダクーニャ","","ジェームズタウン","Saint Helena, Ascension and Tristan da Cunha","","Jamestown",2,"",1936900,"イギリス","",""
"セントルシア","","カストリーズ","Saint Lucia","","Castries",4,"",59876,"","",""
"ソマリア","_連邦共和国","モガディシュ","Somalia","Federal Republic of _","Mogadishu",2,"",6382,"","",""
"ソマリランド","","ハルゲイサ","Somaliland","","Hargeisa",2,"",19251,"","ソマリア",""
"ソロモン諸島","","ホニアラ","Solomon Islands","","Honiara",6,"Solomon Is.",28484,"","",""
"タークス・カイコス諸島","","コックバーンタウン","Turks and Caicos Islands","","Cockburn Town",4,"Turks and Caicos Is.",231467,"イギリス","",""
"タイ","_王国","バンコク","Thailand","Kingdom of _","Bangkok",3,"",52745,"","",""
"タジキスタン","_共和国","ドゥシャンベ","Tajikistan","Republic of _","Dushanbe",3,"",13273,"","",""
"ダルフール","","","Darfur","","",2,"",399777,"","スーダン",""
"タンザニア","_連合共和国","ドドマ","Tanzania","United Republic of _","Dodoma",2,"",8856,"","",""
"チェコ","_共和国","プラハ","Czech","_ Republic","Prague",1,"Czechia",6372,"","",""
"チェチェン共和国","","グロズヌイ","Chechnya","","Grozny",3,"",53177,"","ロシア",""
"チベット","","ダラムサラ","Tibet","","Lhasa",3,"",196386,"","中華人民共和国",""
"チャド","_共和国","ンジャメナ","Chad","Republic of _","N'Djamena",2,"",257588,"","",""
"チュニジア","_共和国","チュニス","Tunisia","Republic of _","Tunis",2,"",106,"","",""
"チリ","_共和国","サンティアゴ","Chile","Republic of _","Santiago",5,"",2862,"","",""
"ツバル","","フナフティ","Tuvalu","","Funafuti",6,"",252279,"","",""
"デンマーク","_王国","コペンハーゲン","Denmark","Kingdom of _","Copenhagen",1,"",1698850,"","",""
"ドイツ","_連邦共和国","ベルリン","Germany","Federal Republic of _","Berlin",1,"",1698878,"","",""
"トーゴ","_共和国","ロメ","Togo","Republic of _","Lome",2,"",28287,"","",""
"トケラウ","","ヌクノノ","Tokelau","","Nukunono",6,"",230873,"ニュージーランド","",""
"ドネツク人民共和国","_","ドネツィク","Donetsk","_ People's Republic","Donetsk",1,"",2963490,"","ウクライナ",""
"ドミニカ","_国","ロゾー","Dominica","Commonwealth of _","Roseau",4,"",59579,"","",""
"ドミニカ共和国","","サントドミンゴ","Dominican Republic","","Santo Domingo",4,"Dominican Rep.",29744,"","",""
"トリニダード・トバゴ","_共和国","ポートオブスペイン","Trinidad and Tobago","Republic of _","Port of Spain",4,"",55178,"","",""
"トルクメニスタン","","アシガバート","Turkmenistan","","Ashgabat",3,"",6368,"","",""
"トルコ","_共和国","アンカラ","Turkey","Republic of _","Ankara",3,"",107,"","",""
"トンガ","_王国","ヌクアロファ","Tonga","Kingdom of _","Nuku'alofa",6,"",27033,"","",""
"ナイジェリア","_連邦共和国","アブジャ","Nigeria","Federal Republic of _","Abuja",2,"",5116,"","",""
"ナウル","_共和国","ヤレン","Nauru","Republic of _","Yaren",6,"",60007,"","",""
"ナミビア","_共和国","ウィントフック","Namibia","Republic of _","Windhoek",2,"",257583,"","",""
"ニウエ","","アロフィ","Niue","","Alofi",6,"",146214,"ニュージーランド","",""
"ニカラグア","_共和国","マナグア","Nicaragua","Republic of _","Managua",4,"",19915,"","",""
"ニジェール","_共和国","ニアメ","Niger","Republic of _","Niamey",2,"",8132,"","",""
"ニューカレドニア","","ヌメア","New Caledonia","","Nouméa",6,"",85490,"フランス","",""
"ニュージーランド","","ウェリントン","New Zealand","","Wellington",6,"",6361,"","",""
"ネパール","_連邦民主共和国","カトマンズ","Nepal","Federal Democratic Republic of _","Kathmandu",3,"",6340,"","",""
"ノーフォーク島","","キングストン","Norfolk Island","","Kingston",6,"",229890,"オーストラリア","",""
"ノルウェー","_王国","オスロ","Norway","Kingdom of _","Oslo",1,"",6367,"","",""
"ハード島とマクドナルド諸島","","","Heard Island and McDonald Islands","","",6,"",157812,"オーストラリア","",""
"バーレーン","_王国","マナーマ","Bahrain","Kingdom of _","Manama",3,"",6358,"","",""
"ハイチ","_共和国","ポルトープランス","Haiti","Republic of _","Port-au-Prince",4,"",57057,"","",""
"パキスタン","_・イスラム共和国","イスラマバード","Pakistan","Islamic Republic of _","Islamabad",3,"",6139,"","",""
"バチカン市国","_","バチカン","Vatican","_(Vatican)","Vatican City",1,"",3389,"","",""
"パナマ","_共和国","パナマ","Panama","Republic of _","Panama",4,"",44411,"","",""
"バヌアツ","_共和国","ポートビラ","Vanuatu","Republic of _","Port Vila",6,"",62155,"","",""
"バハマ","_国","ナッソー","Bahamas","Commonwealth of The _","Nassau",4,"",38579,"","",""
"パプア・ニューギニア","_独立国","ポートモレスビー","Papua New Guinea","Independent State of _","Port Moresby",6,"",28186,"","",""
"バミューダ諸島","","ハミルトン","Bermuda","","Hamilton",4,"",69377,"イギリス","",""
"パラオ","_共和国","ンゲルルムッド","Palau","Republic of _","Ngerulmud",6,"",1808684,"","",""
"パラグアイ","_共和国","アスンシオン","Paraguay","Republic of _","Asuncion",5,"",2626,"","",""
"バルバドス","","ブリッジタウン","Barbados","","Bridgetown",4,"",45042,"","",""
"パレスチナ","","ラマッラー","Palestine","","Ramallah",3,"",2693198,"","イスラエル",""
"ハンガリー","","ブダペスト","Hungary","","Budapest",1,"",8406,"","",""
"バングラデシュ","_人民共和国","ダッカ","Bangladesh","People's Republic of _","Dhaka (Dacca)",3,"",6947,"","",""
"ピトケアン諸島","","アダムスタウン","Pitcairn Islands","","Adamstown",6,"Pitcairn Is.",209991,"イギリス","",""
"フィジー","_共和国","スバ","Fiji","Republic of _","Suva",6,"",9060,"","",""
"フィリピン","_共和国","マニラ","Philippines","Republic of the _","Manila",3,"",252152,"","",""
"フィンランド","_共和国","ヘルシンキ","Finland","Republic of _","Helsinki",1,"",147836,"","",""
"ブーゲンビル","","ブカ","Bougainville","","Buka",6,"",819558,"","パプア・ニューギニア",""
"ブータン","_王国","ティンプー","Bhutan","Kingdom of _","Thimphu",3,"",6374,"","",""
"ブーベ島","","","Bouvet Island","","",6,"",160370,"ノルウェー","",""
"プエルトリコ","","サンフアン","Puerto Rico","","San Juan",4,"",40131,"アメリカ","",""
"フェロー諸島","","トースハウン","Faeroe Islands","","Tórshavn",1,"Faeroe Is.",28528,"デンマーク","",""
"フォークランド諸島","","スタンリー","Falkland Islands","","Stanley",5,"Falkland Is.",95266,"イギリス","",""
"ブラジル","_連邦共和国","ブラジリア","Brazil","Federative Republic of _","Brasilia",5,"",442519,"","",""
"フランス","_共和国","パリ","France","_(French Republic)","Paris",1,"",1698872,"","",""
"フランス領ギアナ","","カイエンヌ","French Guiana","","Cayenne",5,"",27946,"フランス","",""
"フランス領ポリネシア","","パペーテ","French Polynesia","","Papeete",6,"Fr. Polynesia",192152,"フランス","",""
"フランス領南方・南極地域","","ポルトーフランセ","French Southern and Antarctic Lands","","Port-aux-Français",6,"Fr. S. Antarctic Lands",221045,"フランス","",""
"ブルガリア","_共和国","ソフィア","Bulgaria","Republic of _","Sofia",1,"",926765,"","",""
"ブルキナファソ","","ワガドゥグー","Burkina Faso","","Ouagadougou",2,"",28584,"","",""
"ブルネイ","_・ダルサラーム国","バンダルスリブガワン","Brunei Darussalam","_","Bandar Seri Begawan",3,"Brunei",6948,"","",""
"ブルンジ","_共和国","ギテガ","Burundi","Republic of _","Gitega",2,"",28747,"","",""
"ベトナム","_社会主義共和国","ハノイ","Viet Nam","Socialist Republic of _","Hanoi",3,"Vietnam",1775735,"","",""
"ベナン","_共和国","ポルトノボ","Benin","Republic of _","Porto-Novo",2,"",28254,"","",""
"ベネズエラ","_・ボリバル共和国","カラカス","Venezuela","Bolivarian Republic of _","Caracas",5,"",27943,"","",""
"ベラルーシ","_共和国","ミンスク","Belarus","Republic of _","Minsk",1,"",8855,"","",""
"ベリーズ","","ベルモパン","Belize","","Belmopan",4,"",60675,"","",""
"ペルー","_共和国","リマ","Peru","Republic of _","Lima",5,"",2872,"","",""
"ベルギー","_王国","ブリュッセル","Belgium","Kingdom of _","Brussels",1,"",1698824,"","",""
"ポーランド","_共和国","ワルシャワ","Poland","Republic of _","Warsaw",1,"",6355,"","",""
"ボスニア・ヘルツェゴビナ","","サラエヴォ","Bosnia and Herzegovina","","Sarajevo",1,"Bosnia and Herz.",8854,"","",""
"ボツワナ","_共和国","ハボローネ","Botswana","Republic of _","Gaborone",2,"",29093,"","",""
"ボリビア","_多民族国","スクレ","Bolivia","Plurinational State of _","Sucre",5,"",2863,"","",""
"ポルトガル","_共和国","リスボン","Portugal","_(Portuguese Republic)","Lisbon",1,"",4596,"","",""
"ホンジュラス","_共和国","テグシガルパ","Honduras","Republic of _","Tegucigalpa",4,"",60788,"","",""
"マーシャル諸島","_共和国","マジュロ","Marshall Islands","Republic of the _","Majuro",6,"Marshall Is.",63179,"","",""
"マカオ","_","マカオ","Macao","_(Macau)","Macao",3,"",7855,"中華人民共和国","",""
"マダガスカル","_共和国","アンタナナリボ","Madagascar","Republic of _","Antananarivo",2,"",28651,"","",""
"マヨット","","マムズ","Mayotte","","Mamoudzou",2,"",149748,"フランス","",""
"マラウィ","_共和国","リロングウェ","Malawi","Republic of _","Lilongwe",2,"",13546,"","",""
"マリ","_共和国","バマコ","Mali","Republic of _","Bamako",2,"",6970,"","",""
"マルタ","_共和国","バレッタ","Malta","Republic of _","Valletta",1,"",10129,"","",""
"マルティニーク","","フォール＝ド＝フランス","Martinique","","Fort-de-France",4,"",129385,"フランス","",""
"マレーシア","","クアラルンプール","Malaysia","","Kuala Lumpur",3,"",2121942,"","",""
"マン島","","ダグラス","Isle of Man","","Douglas",1,"",1913040,"イギリス","",""
"ミクロネシア","_連邦","パリキール","Micronesia","Federated States of _","Palikir",6,"",9488,"","",""
"ミャンマー","_連邦共和国","ネピドー","Myanmar","Republic of the Union of _","Naypyidaw",3,"",1185408,"","",""
"メキシコ","_合衆国","メキシコシティ","Mexico","_(United Mexican States)","Mexico City",4,"",2878,"","",""
"モーリシャス","_共和国","ポートルイス","Mauritius","Republic of _","Port Louis",2,"",13083,"","",""
"モーリタニア","_・イスラム共和国","ヌアクショット","Mauritania","Islamic Republic of _","Nouakchott",2,"",8596,"","",""
"モザンビーク","_共和国","マプト","Mozambique","Republic of _","Maputo",2,"",6975,"","",""
"モナコ","_公国","モナコ","Monaco","Principality of _","Monaco",1,"",11927,"","",""
"モルディブ","_共和国","マレ","Maldives","Republic of _","Male",3,"",46173,"","",""
"モルドバ","_共和国","キシナウ","Moldova","Republic of _","Chisinau",1,"",25153,"","",""
"モロッコ","_王国","ラバト","Morocco","Kingdom of _","Rabat",2,"",6378,"","",""
"モンゴル","_国","ウランバートル","Mongolia","_","Ulaanbaatar",3,"",13219,"","",""
"モンテネグロ","","ポドゴリツァ","Montenegro","","Podgorica",1,"",183525,"","",""
"モントセラト","","プリマス","Montserrat","","Plymouth",4,"",38602,"イギリス","",""
"ヨルダン","","アンマン","Jordan","","Amman",3,"",5935,"","",""
"ラオス","_人民民主共和国","ヴィエンチャン","Laos","_(Lao People's Democratic Republic)","Vientiane",3,"",1468,"","",""
"ラトビア","_共和国","リガ","Latvia","Republic of _","Riga",1,"",1762399,"","",""
"リトアニア","_共和国","ヴィリニュス","Lithuania","Republic of _","Vilnius",1,"",25150,"","",""
"リビア","","トリポリ","Libya","","Tripoli",2,"",257585,"","",""
"リヒテンシュタイン","_公国","ファドゥーツ","Liechtenstein","Principality of _","Vaduz",1,"",10193,"","",""
"リベリア","_共和国","モンロビア","Liberia","Republic of _","Monrovia",2,"",28309,"","",""
"ルーマニア","","ブカレスト","Romania","","Bucharest",1,"",8133,"","",""
"ルガンスク人民共和国","_","ルハーンシク","Luhansk","_ People's Republic","Luhansk",1,"",3011628,"","ウクライナ",""
"ルクセンブルク","_大公国","ルクセンブルク","Luxembourg","Grand Duchy of _","Luxembourg",1,"",9917,"","",""
"ルワンダ","_共和国","キガリ","Rwanda","Republic of _","Kigali",2,"",29123,"","",""
"レソト","_王国","マセル","Lesotho","Kingdom of _","Maseru",2,"",24893,"","",""
"レバノン","_共和国","ベイルート","Lebanon","_(Lebanese Republic)","Beirut",3,"",6279,"","",""
"レユニオン","","サン＝ドニ","Réunion","","Saint-Denis",2,"",127106,"フランス","",""
"ロシア","_連邦","モスクワ","Russian Federation","_","Moscow",1,"Russia",109,"","",""
"英領バージン諸島","","ロードタウン","British Virgin Islands","","Road Town",4,"British Virgin Is.",145033,"イギリス","","エイリョウ"
"沿ドニエストル共和国","","ティラスポリ","Transdniestria","","Tiraspol",1,"",250473,"","モルドバ","エンドニエス"
"香港","","香港","Hong Kong","","Hong Kong",3,"",1607313,"中華人民共和国","","ホンコン"
"合衆国領有小離島","","","U.S. Minor Outlying Islands","","",6,"United States Minor Outlying Islands",269604,"アメリカ","","ガッシュウコク"
"サハラ・アラブ民主共和国","","ラユーン","Sahrawi Arab Democratic Republic","","Laayoune",2,"W. Sahara",2251435,"","モロッコ",""
"西サハラ","","ラユーン","West Sahara","","Laayoune",2,"W. Sahara",29195,"","","ニシサハラ"
"赤道ギニア","_共和国","マラボ","Equatorial Guinea","Republic of _","Malabo",2,"Eq. Guinea",27949,"","","セキドウギニア"
"大韓民国","_(韓国)","ソウル","South Korea","_(Republic of Korea)","Seoul",3,"",4585754,"","","ダイカンミンコク"
"中央アフリカ","_共和国","バンギ","Central African","_ Republic","Bangui",2,"Central African Rep.",28284,"","","チュウオウアフリカ"
"中華人民共和国","_(中国)","北京","China","People's Republic of _","Beijing",3,"",1903,"","","チュウカジンミン"
"中華民国","_(台湾)","台北","Taiwan","_","Taipei",3,"",279710,"","中華人民共和国","チュウカミンコク"
"朝鮮民主主義人民共和国","_(北朝鮮)","平壌","North Korea","_(Democratic People's Republic of Korea)","Pyongyang",3,"",907180,"","","チョウセン"
"東ティモール","_民主共和国","ディリ","Timor-Leste","The Democratic Republic of _","Dili",3,"",8609,"","","ヒガシティモール"
"南アフリカ","_共和国","プレトリア","South Africa","Republic of _","Pretoria",2,"",1698846,"","","ミナミアフリカ"
"南オセチア","_共和国","ツヒンヴァリ","South Ossetia","Republic of _","Tskhinvali",3,"",2592637,"","ジョージア","ミナミオセチア"
"南ジョージア島・南サンドイッチ諸島","","キング・エドワード・ポイント","South Georgia and the South Sandwich Islands","","King Edward Point",5,"S. Geo. and the Is.",233535,"イギリス","","ミナミジョージア"
"南スーダン","_共和国","ジュバ","South Sudan","The Republic of _","Juba",2,"S. Sudan",421425,"","","ミナミスーダン"
"南極","","","Antarctica","","",6,"",4395,"","","ナンキョク"
"日本","_国","東京","Japan","_","Tokyo",3,"",4821051,"","","ニホン"
"米領サモア","","パゴパゴ","American Samoa","","Pago Pago",6,"",75509,"アメリカ","","ベイリョウサモア"
"米領バージン諸島","","シャーロット・アマリー","U.S. Virgin Islands","","Charlotte Amalie",4,"U.S. Virgin Is.",60677,"アメリカ","","ベイリョウバージン"
"北キプロス・トルコ共和国","","ニコシア","Northern Cyprus","Turkish Republic of _","Nicosia",1,"N. Cyprus",26602,"","キプロス","キタキプロス"
"北マケドニア","_共和国","スコピエ","North Macedonia","Republic of _","Skopje",1,"Macedonia",8437,"","","キタマケドニア"
"北マリアナ諸島","","サイパン","Northern Mariana Islands","","Saipan",6,"N. Mariana Is.",60630,"アメリカ","","キタマリアナ"
